iteracao, newton_x, newton_crit, secante_x, secante_crit, erro_abs, erro_relat, ulp
0,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
1,-5.0000000000000000e-01,3.0000000000000000e+00,-5.0000000000000000e-01,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
2,1.7500000000000000e+00,1.2857142857142858e+00,-5.0000000000000000e+00,9.0000000000000002e-01,6.7500000000000000e+00,3.8571428571428572e+00,0
3,3.0357142857142860e-01,4.7647058823529402e+00,-9.0909090909090828e-02,5.4000000000000050e+01,3.9448051948051943e-01,1.2994652406417109e+00,1729142683
4,-3.1423319327731090e+00,1.0966070533177337e+00,3.0357142857142871e-01,1.2994652406417109e+00,-3.4459033613445378e+00,1.0966070533177337e+00,288737293
5,-1.2529309672222555e+00,1.5079848890155938e+00,-9.5343511450382010e+00,1.0318397575203018e+00,8.2814201778159457e+00,6.6096380363044513e+00,564343254
6,1.7166308544882392e-01,8.2987792567422911e+00,5.3022136243483864e-01,1.8981831401992828e+01,-3.5855827698601472e-01,2.0887325661690257e+00,1970411847
7,-5.7395327013437702e+00,1.0299088957901805e+00,7.8356452254672149e-01,3.2332137663465588e-01,-6.5230972238904918e+00,1.1365206129696359e+00,665175153
8,-2.6955361385562062e+00,1.1292731413417449e+00,-1.2060849255675432e+00,1.6496760766477554e+00,-1.4894512129886630e+00,5.5256213844955115e-01,1958077977
9,-9.7678435820991316e-01,1.7596020717368299e+00,6.9701849610041204e+00,1.1730348523482790e+00,-7.9469693192140340e+00,8.1358482580309825e+00,446552781
10,5.3537523853943791e-01,2.8244854970780633e+00,-1.8054223462304062e+00,4.8606949645645923e+00,2.3407975847698443e+00,4.3722559735033615e+00,1244971153
11,-1.6001611866035395e+00,1.3345758183747798e+00,-2.8237750258333860e+00,3.6063520297706136e-01,1.2236138392298466e+00,7.6468161424853553e-01,1098050731
12,-1.7514355047636898e-01,8.1362838211929436e+00,-6.6925349760702479e-01,3.2192906513451836e+00,4.9410994713065581e-01,2.8211712380315310e+00,1192544507
13,5.6220304183916845e+00,1.0311530777036373e+00,3.1542452850376601e-02,2.2217547689828258e+01,5.5904879655413078e+00,9.9438949089510620e-01,1944407723
14,2.6331435284008324e+00,1.1351021536627253e+00,3.1693192606762493e+00,9.9004756218733025e-01,-5.3617573227541682e-01,2.0362571447104080e-01,2137505520
15,9.3679755545938215e-01,1.8107924845188186e+00,-5.9360011981239991e-01,6.3391486202493930e+00,1.5303976752717821e+00,1.6336482373945918e+00,809867365
16,-5.9906771401368797e-01,2.5637590435026807e+00,-1.5068833520255036e+00,6.0607427309187412e-01,9.0781563801181564e-01,1.5153806769681351e+00,1446741433
17,1.3697265230929441e+00,1.4373630092676812e+00,5.2631400176028809e-01,3.8630880937722418e+00,8.4341252133265598e-01,6.1575249300726687e-01,441268739
18,-4.5209481545284591e-02,3.1297328707938000e+01,2.8484408639073293e+00,8.1522733772386613e-01,-2.8936503454526141e+00,6.4005386625682860e+01,475067452
19,2.2096649137384279e+01,1.0020459881163066e+00,-1.4840357598545895e-01,2.0193882930330659e+01,2.2245052713369738e+01,1.0067161122513542e+00,1833403910
